PROJECT_NAME, LATITUDE, LONGITUDE, COMMENT
Tarapur Atomic Power Station, 19.82, 72.66, Palghar; Maharashtra; India's oldest commercial nuclear power station
Rawatbhata Atomic Power Station, 24.87, 75.61, Chittorgarh; Rajasthan; India's first pressurized heavy-water reactor (PHWR) plant
Kudankulam Nuclear Power Plant, 8.16, 77.71, Tirunelveli; Tamil Nadu; India's highest capacity nuclear plant featuring Russian VVER reactors
Kakrapar Atomic Power Station, 21.23, 73.35, Tapi; Gujarat; Features India's first indigenously designed 700 MW PHWR
Narora Atomic Power Station, 28.15, 78.40, Bulandshahr; Uttar Pradesh; Built with advanced safety features to withstand seismic events
Kaiga Generating Station, 14.86, 74.44, Uttara Kannada; Karnataka; Holds a world record for continuous operation of a PHWR
Madras Atomic Power Station, 12.55, 80.17, Chengalpattu; Tamil Nadu; India's first fully indigenously constructed nuclear power station
Gorakhpur Nuclear Power Plant, 29.45, 75.67, Fatehabad; Haryana; Upcoming 2800 MW indigenous PHWR project in northern India
Chutka Nuclear Power Plant, 22.61, 80.25, Mandla; Madhya Pradesh; Upcoming 1400 MW nuclear power project
Mahi Banswara Atomic Power Project, 23.54, 74.45, Banswara; Rajasthan; Proposed 2800 MW nuclear power plant project
