MINING_SITENAME, LATITUDE, LONGITUDE, MINERAL, COMMENT
Khetri / Kolihan / Banwas / Chandmari, 28.00, 75.78, Copper, Jhunjhunu; Combined major copper mining complex in the Khetri belt
Kho-Dariba, 27.17, 76.38, Copper, Alwar; Historic copper mining site in the Alwar district
Sindesar Khurd / Rajpura Dariba / Bamnia Kalan, 24.98, 74.15, Zinc/Lead/Silver, Rajsamand; Premier continuous belt of lead-zinc-silver poly-metallic mines
Rampura Agucha, 25.83, 74.74, Zinc/Lead/Silver, Bhilwara; The largest zinc-producing mine in India
Zawar-Mochia / Balaria / Zawarmala / Baroi, 24.34, 73.71, Zinc/Lead/Silver, Udaipur; Ancient and highly mechanized zinc-lead-silver mining cluster
Kayad, 26.53, 74.68, Zinc/Lead/Silver, Ajmer; Modern underground mine located near Ajmer
Pur-Banera, 25.35, 74.65, Zinc/Lead/Silver, Bhilwara; A multi-metal belt with significant lead-zinc-silver reserves
Rohil, 27.60, 75.54, Uranium, Sikar; Significant emerging uranium block in Sikar district
Banswara, 23.54, 74.45, Manganese, Banswara; The primary manganese mining belt in Rajasthan
Jhamarkotra / Maton, 24.50, 73.82, Rock Phosphate, Udaipur; Combined major rock phosphate mining area for fertilizer
Kapurdi / Jalipa, 25.85, 71.40, Lignite, Barmer; Contiguous lignite blocks feeding the Raj West power project
Giral, 26.04, 71.25, Lignite, Barmer; State-operated lignite mining project
Barsingsar / Palana, 27.84, 73.23, Lignite, Bikaner; Historic and integrated lignite mining blocks
Gurha, 27.85, 72.90, Lignite, Bikaner; Key lignite blocks in the Bikaner district
Mangala / Bhagyam / Aishwariya, 25.90, 71.40, Petroleum, Barmer; Major onshore oil discoveries in the Barmer basin
Morija-Banera, 27.24, 75.78, Iron Ore, Jaipur; Major iron ore deposit located in the Jaipur district
Nathra-Ki-Pal, 24.25, 73.69, Iron Ore, Udaipur; Specular hematite deposit in the Aravalli belt
Makrana, 27.03, 74.73, Marble, Nagaur; Historic mines that provided the white marble for the Taj Mahal
Sanu, 27.02, 70.76, Limestone, Jaisalmer; Premier supplier of SMS grade limestone to steel plants
Gotan, 26.65, 73.73, Limestone, Nagaur; Famous for high-grade limestone feeding the cement industry
Degana, 26.83, 74.32, Tungsten, Nagaur; India's premier historic tungsten mining site (Rewat Hill)
Jamsar, 28.25, 73.38, Gypsum, Bikaner; Largest gypsum producing area in the country
