NAME,DISTRICT,LATITUDE,LONGITUDE,COMMENT
Amer Fort,Jaipur,26.985,75.851,Kachwaha Dynasty; Raja Man Singh I; UNESCO Hill Fort; Sheesh Mahal.
Mehrangarh Fort,Jodhpur,26.298,73.019,Rao Jodha (1459); Rathore clan; Chokhelao Bagh; Phool Mahal.
Jaisalmer Fort,Jaisalmer,26.912,70.913,Rawal Jaisal; "Sonar Quila"; Trikuta Hill; Living fort.
Chittorgarh Fort,Chittorgarh,24.888,74.645,Largest fort in India; Mewar capital; Vijay Stambha; Jauhar site.
Kumbhalgarh Fort,Rajsamand,25.149,73.587,Rana Kumbha; 36km long wall; Birthplace of Maharana Pratap.
Ranthambore Fort,Sawai Madhopur,25.993,76.453,Chauhan Dynasty; Sapaldaksha; Hammir Dev; UNESCO Hill Fort.
Gagron Fort,Jhalawar,24.628,76.185,UNESCO site; "Jal Durg" (Water Fort); confluence of Ahu & Kali Sindh rivers.
Hawa Mahal,Jaipur,26.924,75.827,Sawai Pratap Singh; Lal Chand Usta (Architect); 953 Jharokhas.
City Palace,Udaipur,24.576,73.683,Maharana Udai Singh II; Lake Pichola bank; Mewar architecture.
Jantar Mantar,Jaipur,26.925,75.824,Sawai Jai Singh II; UNESCO site; Vrihat Samrat Yantra sundial.
Jal Mahal,Jaipur,26.966,75.859,Man Sagar Lake; Sawai Pratap Singh; Rajput-Mughal style.
Junagarh Fort,Bikaner,28.022,73.313,Raja Rai Singh; built on plains (not hilltop); Anup Mahal.
Bhatner Fort,Hanumangarh,29.581,74.332,Oldest fort in region; Raja Bhupat (Bhati); repelled Timur.
Adhai Din Ka Jhonpra,Ajmer,26.455,74.627,Qutub-ud-din Aibak; converted Sanskrit college; Indo-Islamic.
Taragarh Fort,Bundi,25.450,75.638,Rao Deva; Chhatra Mahal; famous for murals; Garbh Gunjam cannon.
Vijay Stambha,Chittorgarh,24.888,74.642,Rana Kumbha (1448); victory over Malwa/Gujarat; 9 storeys.
Kirti Stambha,Chittorgarh,24.890,74.647,Dedicated to Rishabhanatha (1st Jain Tirthankara); 12th century.
Jaswant Thada,Jodhpur,26.304,73.019,"Taj Mahal of Marwar"; cenotaph for Maharaja Jaswant Singh II.
Chand Baori,Dausa,27.007,76.606,King Chanda (Nikumbha Dynasty); world's deepest stepwell.
Nahargarh Fort,Jaipur,26.939,75.815,Sawai Jai Singh II; "Abode of Tigers"; Madhavendra Bhawan.
Jaigarh Fort,Jaipur,26.993,75.847,Sawai Jai Singh II; Victory Fort; Jaivana (largest cannon on wheels).
Dilwara Temples,Sirohi,24.597,72.721,Vimal Shah/Vastupal-Tejpal; Maru-Gurjara style; Marble carvings.
Raniji ki Baori,Bundi,25.448,75.631,Rani Nathavati; "Queen's Stepwell"; intricate carvings.
Umaid Bhawan Palace,Jodhpur,26.281,73.047,Maharaja Umaid Singh; Chittar sandstone; Indo-Deco style.
Patwon Ki Haveli,Jaisalmer,26.917,70.912,Guman Chand Patwa; cluster of 5 havelis; yellow sandstone.
Brahma Temple,Ajmer,26.488,74.550,Only major temple dedicated to Brahma; near Pushkar Lake.
Lohagarh Fort,Bharatpur,27.218,77.489,Maharaja Surajmal (Jat ruler); "Iron Fort"; impregnable mud walls.
Kiradu Temples,Barmer,25.751,71.216,"Khajuraho of Rajasthan"; Solanki style; dedicated to Shiva.
Abhaneri Stepwell,Dausa,27.007,76.606,Harshat Mata Temple complex; 8th-9th century AD.
Tanot Mata Temple,Jaisalmer,27.795,70.485,Bhati Rajput lineage; managed by BSF; Indo-Pak war 1965 significance.
