COUNTRY,CONTINENT,SUB_CONTINENT,CAPITAL,LONGITUDE,LATTITUDE,LANGUAGE,COMMENT
Afghanistan,Asia,South Asia,Kabul,69.172,34.529,Pashto;Dari,Heart of Asia; historic crossroads of the Silk Road.
Albania,Europe,Southeast Europe,Tirana,19.819,41.328,Albanian,Known for its unique language and Ottoman-era architecture.
Algeria,Africa,North Africa,Algiers,3.059,36.753,Arabic;Berber;French,Largest country in Africa by land area.
Andorra,Europe,Southern Europe,Andorra la Vella,1.521,42.506,Catalan,Co-principality located in the Pyrenees mountains.
Angola,Africa,Central Africa,Luanda,13.234,-8.839,Portuguese,Major oil and diamond producer in Sub-Saharan Africa.
Antigua and Barbuda,North America,Caribbean,St. John's,-61.845,17.118,English,Famous for having 365 distinct beaches.
Argentina,South America,South America,Buenos Aires,-58.381,-34.604,Spanish,"Home to Mt. Aconcagua, the highest peak in the Americas."
Armenia,Asia,Western Asia,Yerevan,44.509,40.178,Armenian,One of the world's oldest civilizations; first to adopt Christianity.
Australia,Oceania,Australasia,Canberra,149.128,-35.281,English,Only country that is also a continent.
Austria,Europe,Western Europe,Vienna,16.374,48.208,German,Famous for its musical heritage and Alpine landscapes.
Azerbaijan,Asia,Western Asia,Baku,49.867,40.409,Azerbaijani,Known as the Land of Fire due to natural gas vents.
Bahamas,North America,Caribbean,Nassau,-77.343,25.044,English,Archipelago of over 700 islands and cays.
Bahrain,Asia,Western Asia,Manama,50.586,26.228,Arabic,Island nation in the Persian Gulf; ancient Dilmun civilization.
Bangladesh,Asia,South Asia,Dhaka,90.412,23.811,Bengali,Home to the world's largest river delta and mangrove forest.
Barbados,North America,Caribbean,Bridgetown,-59.613,13.097,English,Easternmost island in the Caribbean; birthplace of rum.
Belarus,Europe,Eastern Europe,Minsk,27.561,53.9,Belarusian;Russian,Landlocked nation known for Stalinist architecture.
Belgium,Europe,Western Europe,Brussels,4.352,50.85,Dutch;French;German,Headquarters of the European Union and NATO.
Belize,North America,Central America,Belmopan,-88.767,17.25,English,"Home to the Belize Barrier Reef, a UNESCO site."
Benin,Africa,West Africa,Porto-Novo,2.628,6.497,French,Birthplace of the Voodoo religion and Dahomey Kingdom.
Bhutan,Asia,South Asia,Thimphu,89.639,27.471,Dzongkha,Only carbon-negative country; uses Gross National Happiness index.
Bolivia,South America,South America,La Paz,-68.119,-16.489,Spanish;Quechua;Aymara,"Home to Salar de Uyuni, the world's largest salt flat."
Bosnia and Herzegovina,Europe,Southeast Europe,Sarajevo,18.413,43.856,Bosnian;Croatian;Serbian,Known for its bridge in Mostar and multicultural history.
Botswana,Africa,Southern Africa,Gaborone,25.923,-24.654,English;Setswana,Home to the Okavango Delta and Chobe National Park.
