NAME, COUNTRY, LATITUDE, LONGITUDE, COMMENT
Angel Falls, Venezuela, 5.967, -62.536, 979m highest uninterrupted world Canaima NP
Victoria Falls, Zambia/Zimbabwe, -17.924, 25.856, 108m Zambezi Mosi-oa-Tunya
Niagara Falls, USA/Canada, 43.096, -79.037, 51m Horseshoe American Bridal Veil
Iguazu Falls, Argentina/Brazil, -25.695, -54.436, 82m Devil's Throat Parana River
Yosemite Falls, USA, 37.756, -119.596, 739m tallest North America
Dettifoss, Iceland, 65.814, -16.384, 44m most powerful Europe
Kaieteur Falls, Guyana, 5.173, -59.480, 226m single drop Potaro River
Jog Falls (Gersoppa), India, 14.229, 74.810, 253m Sharavathi River
Plitvice Falls, Croatia, 44.880, 15.616, cascading lakes UNESCO
Gullfoss, Iceland, 64.327, -20.121, 32m Golden Falls glacial river
Ban Gioc-Detian, Vietnam/China, 22.853, 106.723, 30m transboundary waterfall
Havasu Falls, USA, 36.255, -112.697, 30m turquoise Grand Canyon
Sutherland Falls, New Zealand, -44.833, 167.717, 580m Fiordland NP
Gocta Falls, Peru, -5.880, -77.879, 771m Amazon region
Tugela Falls, South Africa, -28.750, 28.883, 948m Drakensberg
Blue Nile Falls, Ethiopia, 11.490, 37.585, Tis Issat Lake Tana outlet
Montmorency Falls, Canada, 46.887, -71.147, 83m higher than Niagara
Skogafoss, Iceland, 63.532, -19.511, 60m ring road attraction
Multnomah Falls, USA, 45.576, -122.115, 189m Oregon Columbia Gorge
Huangguoshu Falls, China, 25.994, 105.679, 77m largest China
Manavgat Falls, Turkey, 36.786, 31.443, Mediterranean region
Rheinfall, Switzerland, 47.677, 8.615, largest Europe by volume
Shoshone Falls, USA, 42.596, -114.401, Niagara of West
Kilimanjaro Materuni Falls, Tanzania, -3.250, 37.250, near Kilimanjaro
Baatara Gorge Falls, Lebanon, 34.251, 35.813, waterfall into sinkhole
Kuang Si Falls, Laos, 20.558, 102.004, turquoise pools Mekong basin
Horsetail Fall, USA, 37.715, -119.651, firefall phenomenon Yosemite
Seven Sisters Falls, Norway, 62.104, 7.094, Geirangerfjord UNESCO
Takakkaw Falls, Canada, 51.441, -116.474, Yoho NP glacier fed
Barron Falls, Australia, -16.871, 145.636, Queensland rainforest
