MINING_SITENAME,LATITUDE,LONGITUDE,MINERAL,COMMENT
Jharia,23.75,86.42,Coal,Dhanbad; Jharkhand; Largest coalfield in India famous for premium coking coal
Raniganj,23.63,87.13,Coal,Paschim Bardhaman; West Bengal; The birthplace of coal mining in India
Bokaro,23.79,85.98,Coal,Bokaro; Jharkhand; Major producer of metallurgical coal
Karanpura,23.82,85.05,Coal,Chatra; Jharkhand; Large operational blocks in the North and South Karanpura fields
Singrauli,24.20,82.66,Coal,Singrauli; Madhya Pradesh; Known for its massive open-cast coal mines
Talcher,20.95,85.23,Coal,Angul; Odisha; Houses some of the highest geological reserves of coal in India
Ib Valley,21.82,83.86,Coal,Jharsuguda; Odisha; Rapidly expanding open-cast coalfields
Korba,22.35,82.68,Coal,Korba; Chhattisgarh; Highly productive coal belt feeding major power plants
Ramagundam,18.76,79.47,Coal,Peddapalli; Telangana; Key mining area operated by Singareni Collieries
Makum,27.29,95.67,Coal,Tinsukia; Assam; High-sulphur tertiary coal mining area
Dilli-Jeypore,27.15,95.38,Coal,Dibrugarh; Assam; Important regional coalfield in the Northeast
Wardha,20.74,78.60,Coal,Chandrapur; Maharashtra; One of the oldest coal mining valleys in Maharashtra
Kamptee,21.22,79.19,Coal,Nagpur; Maharashtra; Deep coal reserves near Nagpur
Umrer,20.84,79.32,Coal,Nagpur; Maharashtra; Significant open-cast mining block
Sohagpur,23.31,81.35,Coal,Shahdol; Madhya Pradesh; Important coalfield in the Rewa-Gondwana basin
Bailadila,18.73,81.23,Iron Ore,Dantewada; Chhattisgarh; High-grade hematite deposits highly mechanized
Dalli-Rajhara,20.58,81.08,Iron Ore,Balod; Chhattisgarh; Captive mines for the Bhilai Steel Plant
Kudremukh,13.21,75.25,Iron Ore,Chikkamagaluru; Karnataka; Historic magnetite reserves
Donimalai,15.06,76.61,Iron Ore,Bellary; Karnataka; Highly productive NMDC mining block
Kemmangundi,13.54,75.75,Iron Ore,Chikkamagaluru; Karnataka; Historic mining region in the Baba Budan hills
Noamundi,22.15,85.53,Iron Ore,West Singhbhum; Jharkhand; Premier captive mine operated by Tata Steel
Joda,22.01,85.43,Iron Ore,Keonjhar; Odisha; One of the richest hematite blocks in Eastern India
Barbil,22.12,85.40,Iron Ore,Keonjhar; Odisha; A major hub for iron ore pelletization and extraction
Gurumahisani,22.30,86.17,Iron Ore,Mayurbhanj; Odisha; India's first commercially exploited iron ore mine
Daitari,21.10,85.74,Iron Ore,Keonjhar; Odisha; Key supplier for steel plants in coastal Odisha
Kiriburu,22.09,85.27,Iron Ore,West Singhbhum; Jharkhand; Operated by SAIL supplies to Bokaro steel plant
Meghahatuburu,22.11,85.28,Iron Ore,West Singhbhum; Jharkhand; Adjoining Kiriburu major captive mine for SAIL
Chiria,22.30,85.26,Iron Ore,West Singhbhum; Jharkhand; Holds some of the largest proven iron ore reserves in India
Khetri,27.98,75.80,Copper,Jhunjhunu; Rajasthan; The anchor mine of the Khetri Copper Belt
Kolihan,28.01,75.76,Copper,Jhunjhunu; Rajasthan; Highly productive underground mine near Khetri
Banwas,28.04,75.78,Copper,Jhunjhunu; Rajasthan; A relatively newer extension of the Khetri deposits
Chandmari,27.96,75.79,Copper,Jhunjhunu; Rajasthan; Open-cast copper mine in the Rajasthan belt
Malanjkhand,22.02,80.71,Copper,Balaghat; Madhya Pradesh; The largest open-cast copper mine in India
Rakha,22.63,86.38,Copper,East Singhbhum; Jharkhand; Historic copper mine in the Singhbhum shear zone
