NAME,STATE/UT,LATITUDE,LONGITUDE,COMMENT
Taj Mahal,Uttar Pradesh,27.175,78.042,Mughal architecture; built by Shah Jahan; White marble; UNESCO site.
Qutub Minar,Delhi,28.524,77.185,Mamluk dynasty; started by Qutub-ud-din Aibak; highest brick minaret.
Red Fort,Delhi,28.656,77.241,Shah Jahan; originally Qila-e-Mubarak; octagonal plan; UNESCO site.
Konark Sun Temple,Odisha,19.887,86.094,Narasimhadeva I (Ganga Dynasty); Kalinga architecture; "Black Pagoda".
Hampi (Virupaksha),Karnataka,15.335,76.460,Vijayanagara Empire; Dravidian style; Tungabhadra river bank.
Ajanta Caves,Maharashtra,20.552,75.703,Buddhist rock-cut caves; Vakataka dynasty; Jataka tales murals.
Ellora Caves,Maharashtra,20.026,75.177,Rashtrakuta dynasty; Kailasa Temple (monolithic); Hindu-Buddhist-Jain.
Sanchi Stupa,Madhya Pradesh,23.481,77.736,Ashokan era; Mauryan architecture; Toranas (ornate gateways).
Charminar,Telangana,17.361,78.475,Quli Qutub Shah; Indo-Islamic style; built to celebrate end of plague.
Brihadeeswarar Temple,Tamil Nadu,10.782,79.132,Rajaraja Chola I; Dravidian architecture; world's first granite temple.
Fatehpur Sikri,Uttar Pradesh,27.091,77.661,Akbar's capital (1571-1585); Buland Darwaza; Panch Mahal.
Hawa Mahal,Rajasthan,26.923,75.826,Sawai Pratap Singh; 953 Jharokhas (windows); honeycomb structure.
Amer Fort,Rajasthan,26.985,75.851,Raja Man Singh I; Sheesh Mahal; blend of Rajput and Mughal styles.
Gol Gumbaz,Karnataka,16.830,75.736,Mohammed Adil Shah; "Whispering Gallery"; Indo-Islamic Deccan style.
Humayun's Tomb,Delhi,28.593,77.250,First garden-tomb in India; Persian influence; Bega Begum.
Gateway of India,Maharashtra,18.922,72.834,George Wittet (Architect); Indo-Saracenic style; commemorates King George V.
Victoria Memorial,West Bengal,22.545,88.343,Lord Curzon; Indo-Gothic/British architecture; Makrana marble.
Khajuraho Group,Madhya Pradesh,24.851,79.921,Chandela Dynasty; Nagara style; erotic and spiritual sculptures.
Mahabalipuram,Tamil Nadu,12.626,80.192,Pallava Dynasty; Pancha Rathas (monolithic); Shore Temple.
Sun Temple Modhera,Gujarat,23.583,72.133,Bhima I (Chulukya Dynasty); Solanki architecture; Surya Kund.
Rani ki Vav,Gujarat,23.858,72.102,Udayamati (Solanki Dynasty); Maru-Gurjara style; 100 Rupee note feature.
Chittorgarh Fort,Rajasthan,24.887,74.645,Largest fort in India; Vijay Stambha (Tower of Victory); UNESCO.
Jaisalmer Fort,Rajasthan,26.912,70.912,Rawal Jaisal; "Sonar Quila" (Golden Fort); built with yellow sandstone.
Elephanta Caves,Maharashtra,18.963,72.931,Rashtrakuta/Silhara; Lord Shiva Trimurti; rock-cut cave site.
Golconda Fort,Telangana,17.383,78.401,Kakatiya roots; Qutub Shahi capital; famous for acoustic signaling.
Nalanda University,Bihar,25.135,85.445,Gupta Empire; ancient Buddhist Mahavihara; library "Dharmaganja".
Gwalior Fort,Madhya Pradesh,26.231,78.169,Suraj Sen; "Gibraltar of India"; Man Singh Palace.
Adhai Din Ka Jhonpra,Rajasthan,26.455,74.626,Qutub-ud-din Aibak; earliest mosque in India; built on a Sanskrit college.
Bibi Ka Maqbara,Maharashtra,19.901,75.320,Azam Shah; "Dakshani Taj" (Taj of the South); Paithan marble.
Shore Temple,Tamil Nadu,12.616,80.198,Narasimhavarman II; Pallava style; early structural stone temple.
