LAKE_NAME,STATE/UT,LATITUDE,LONGITUDE,COMMENT
Wular Lake,Jammu & Kashmir,34.4285,74.5511,Largest freshwater lake in India; formed by tectonic activity.
Dal Lake,Jammu & Kashmir,34.1105,74.8423,"Jewel in the crown of Kashmir"; famous for Houseboats and Shikaras.
Pangong Tso,Ladakh,33.7595,78.6674,World's highest saltwater lake; shares border with China.
Tso Moriri,Ladakh,32.9014,78.3181,High altitude oligotrophic lake; Ramsar wetland site.
Chilika Lake,Odisha,19.6800,85.3300,Largest brackish water lagoon in India; home to Irrawaddy dolphins.
Loktak Lake,Manipur,24.5222,93.7844,Largest freshwater lake in NE India; famous for floating Phumdis.
Vembanad Lake,Kerala,9.6644,76.4069,Longest lake in India; hosts the Nehru Trophy Boat Race.
Sambhar Lake,Rajasthan,26.9150,75.1472,India's largest inland salt lake; key salt production site.
Pushkar Lake,Rajasthan,26.4886,74.5539,Sacred Hindu lake; site of the world's only Brahma temple.
Lonar Lake,Maharashtra,19.9760,76.5050,Meteorite impact crater lake; saline and alkaline water.
Pulicat Lake,Andhra Pradesh,13.5600,80.1800,Second largest brackish water lagoon; houses Satish Dhawan Space Centre.
Kolleru Lake,Andhra Pradesh,16.6333,81.1833,Located between Krishna and Godavari deltas; major bird sanctuary.
Hussein Sagar,Telangana,17.4239,78.4738,Heart-shaped lake connecting Hyderabad and Secunderabad.
Umiam Lake,Meghalaya,25.6558,91.8906,Man-made reservoir; popular tourist spot known as Barapani.
Changu (Tsomgo) Lake,Sikkim,27.3742,88.7619,Glacial lake near Nathu La pass; remains frozen in winter.
Gurudongmar Lake,Sikkim,28.0200,88.5800,One of the highest lakes in the world; sacred to Buddhists and Sikhs.
Roopkund Lake,Uttarakhand,30.2633,79.7317,"Mystery Lake" or "Skeleton Lake" due to ancient human remains.
Bhimtal Lake,Uttarakhand,29.3456,79.5531,Largest lake in the Kumaon region; has a central island.
Naini Lake,Uttarakhand,29.3925,79.4589,Crescent-shaped lake; namesake of the hill station Nainital.
Suraj Tal,Himachal Pradesh,32.7483,77.4000,Source of Bhaga river; located below Bara-lacha la pass.
Chandratal,Himachal Pradesh,32.4822,77.6158,"Lake of the Moon"; important high-altitude wetland in Spiti.
Deepor Beel,Assam,26.1264,91.6442,Permanent freshwater lake and Ramsar site near Guwahati.
Upper Lake (Bhojtal),Madhya Pradesh,23.2500,77.3500,One of the largest man-made lakes in Asia; built by Raja Bhoj.
Tam Dil,Mizoram,23.7380,92.9460,Largest lake in Mizoram; important for local fisheries.
Kanwar Lake,Bihar,25.6250,86.1300,Asia's largest freshwater oxbow lake; bird sanctuary.
Sukhna Lake,Chandigarh,30.7422,76.8142,Man-made lake at the foothills of Shivalik range.
Agara Lake,Karnataka,12.9155,77.6534,One of the oldest lakes in Bangalore; part of the Vrishabhavathi series.
Sasthamkotta Lake,Kerala,9.0333,76.6167,Largest freshwater lake in Kerala; water is naturally purified.
Ashtamudi Lake,Kerala,8.9414,76.5911,Eight-armed lake; gateway to the backwaters of Kerala.
Renuka Lake,Himachal Pradesh,30.6094,77.4522,Largest lake in Himachal Pradesh; shaped like a reclining woman.
