NAME, COUNTRY, LATITUDE, LONGITUDE, COMMENT
Mount Everest, Nepal/China, 27.988, 86.925, 8848.86m highest world Himalaya
K2, Pakistan/China, 35.881, 76.513, 8611m second highest Karakoram
Kangchenjunga, India/Nepal, 27.702, 88.147, 8586m third highest India peak
Lhotse, Nepal/China, 27.961, 86.933, 8516m near Everest
Makalu, Nepal/China, 27.889, 87.088, 8485m fifth highest
Cho Oyu, Nepal/China, 28.094, 86.660, 8188m sixth highest
Dhaulagiri I, Nepal, 28.697, 83.487, 8167m western Nepal Himalaya
Manaslu, Nepal, 28.549, 84.561, 8163m eighth highest
Nanga Parbat, Pakistan, 35.237, 74.589, 8126m killer mountain
Annapurna I, Nepal, 28.596, 83.820, 8091m high fatality rate
Gasherbrum I, Pakistan/China, 35.724, 76.696, 8080m hidden peak
Broad Peak, Pakistan/China, 35.814, 76.565, 8051m Karakoram
Gasherbrum II, Pakistan/China, 35.758, 76.653, 8035m Karakoram
Shishapangma, China, 28.353, 85.779, 8027m entirely China
Nanda Devi, India, 30.375, 79.970, 7816m highest India entirely
Kamet, India, 30.922, 79.594, 7756m Uttarakhand
Saltoro Kangri, India/Pakistan, 35.406, 76.848, 7742m Siachen region
Saser Kangri, India, 34.989, 77.853, 7672m Ladakh
Mount Elbrus, Russia, 43.355, 42.439, 5642m highest Europe
Mont Blanc, France/Italy, 45.832, 6.865, 4808m Alps highest
Matterhorn, Switzerland/Italy, 45.976, 7.658, 4478m iconic Alps
Mount Kilimanjaro, Tanzania, -3.067, 37.355, 5895m highest Africa
Mount Kenya, Kenya, -0.152, 37.308, 5199m second Africa
Mount Stanley, Uganda/DRC, 0.389, 29.872, 5109m Rwenzori Africa
Denali, USA, 63.069, -151.007, 6190m highest North America
Mount Logan, Canada, 60.567, -140.405, 5959m Canada highest
Aconcagua, Argentina, -32.653, -70.010, 6961m highest South America
Ojos del Salado, Chile/Argentina, -27.109, -68.541, 6893m highest volcano
Vinson Massif, Antarctica, -78.525, -85.617, 4892m highest Antarctica
Puncak Jaya, Indonesia, -4.083, 137.183, 4884m highest Oceania
